shoulder_angle,torso_angle,shoulder_distance,vertical_offset,label
0.034996,-0.026885,0.448068,0.034996,1
0.037915,-0.023141,0.45034,0.037915,1
0.041273,-0.021304,0.448358,0.041273,1
0.04739,-0.026096,0.446222,0.04739,1
0.050926,-0.026503,0.444236,0.050926,1
0.061464,-0.027423,0.444002,0.061464,1
0.060012,-0.026629,0.451763,0.060012,1
0.047142,-0.021355,0.449672,0.047142,1
0.039915,-0.017375,0.450447,0.039915,1
0.056737,-0.025859,0.44089,0.056737,1
0.04618,-0.025713,0.451706,0.04618,1
0.040968,-0.018376,0.44904,0.040968,1
0.035043,-0.006846,0.462571,0.035043,1
0.032375,0.011877,0.520944,0.032375,1
0.0326,0.01436,0.523555,0.0326,1
0.045297,0.016521,0.526603,0.045297,1
0.045581,0.013407,0.5278,0.045581,1
0.045909,0.012517,0.531104,0.045909,1
0.041553,0.007079,0.54207,0.041553,1
0.040209,0.004968,0.547285,0.040209,1
0.040059,0.003925,0.548788,0.040059,1
0.03466,0.002798,0.541175,0.03466,1
0.02291,-0.008817,0.533407,0.02291,0
0.016941,-0.011951,0.52829,0.016941,0
0.006531,-0.013721,0.519898,0.006531,0
0.003922,-0.015167,0.509538,0.003922,0
0.000376,-0.018133,0.507079,0.000376,0
0.000977,-0.014885,0.502888,0.000977,0
0.083317,0.025515,0.579246,0.083317,2
0.085731,0.025244,0.58081,0.085731,2
0.085935,0.02462,0.578944,0.085935,2
0.084986,0.024438,0.578114,0.084986,2
0.085235,0.025593,0.577551,0.085235,2
0.08502,0.026499,0.577269,0.08502,2
0.083349,0.027368,0.57538,0.083349,2
0.082065,0.030235,0.571722,0.082065,2
0.09837,0.044478,0.561326,0.09837,2
0.098071,0.042757,0.562566,0.098071,2
0.106708,0.048093,0.56701,0.106708,2
0.106175,0.036623,0.559191,0.106175,2
0.101591,0.032741,0.558433,0.101591,2
0.099897,0.031621,0.560432,0.099897,2
0.099523,0.032013,0.556548,0.099523,2
0.099121,0.03294,0.554709,0.099121,2
0.09722,0.032113,0.545111,0.09722,2
0.094771,0.029101,0.527992,0.094771,2
0.09266,0.029212,0.525139,0.09266,2
0.086272,0.052791,0.529322,0.086272,2
0.098133,0.057416,0.534254,0.098133,2
0.104855,0.049232,0.53548,0.104855,2
0.112901,0.046352,0.543678,0.112901,2
0.115594,0.043521,0.544822,0.115594,2
0.122026,0.042633,0.564249,0.122026,2
0.119698,0.029755,0.559141,0.119698,2
0.121704,0.035973,0.568992,0.121704,2
0.124383,0.041637,0.572179,0.124383,2
0.121505,0.039206,0.571006,0.121505,2
0.123159,0.042865,0.576233,0.123159,2
0.129624,0.046126,0.581892,0.129624,2
0.132469,0.045692,0.581669,0.132469,2
0.131598,0.043498,0.579973,0.131598,2
0.135491,0.046531,0.579707,0.135491,2
0.135168,0.044767,0.581451,0.135168,2
0.137029,0.044226,0.582644,0.137029,2
0.134427,0.04177,0.581428,0.134427,2
0.134105,0.041918,0.580469,0.134105,2
0.131747,0.039835,0.579414,0.131747,2
0.126914,0.037927,0.579477,0.126914,2
0.119898,0.036429,0.578854,0.119898,2
0.119844,0.035931,0.580399,0.119844,2
0.117951,0.035489,0.580724,0.117951,2
0.116979,0.034695,0.58083,0.116979,2
0.117153,0.034477,0.58121,0.117153,2
0.115925,0.034464,0.581071,0.115925,2
0.114252,0.034467,0.580377,0.114252,2
0.112976,0.034489,0.579862,0.112976,2
0.113698,0.035609,0.57978,0.113698,2
0.113839,0.036149,0.580066,0.113839,2
0.113836,0.036628,0.580299,0.113836,2
0.116899,0.038318,0.580865,0.116899,2
0.119797,0.038571,0.581504,0.119797,2
0.12203,0.038856,0.582085,0.12203,2
0.123393,0.039122,0.582812,0.123393,2
0.124662,0.040537,0.58254,0.124662,2
